category,id,mass,scale
Copier,8f827c87f5f7c053f105ef303e18c873,0.1578233928,0.0025640029
Basket,a642201d64f3a2adf345c3e267c3bfb3,0.1329522253,0.0122893404
Telephone,b18f0d53dd3db1999410a04d09c14d1a,0.0101607677,0.0177230089
Shoes,16ac39c5f6486b4f4b67691a60194771,1.1303721449,0.0026521097
Cookie,2ec24ca1dd42c39f6ad0370a38d43358,0.0373770479,0.0005978949
FloorLamp,69c28b2ccbdba67c10342a4f54da1ae5,0.0179328144,0.0034064237
ChestOfDrawers,bde984cab54f1b8fce58f346b4d8abe,1.1176022909,0.0081733575
Couch,8a8c67e553f1c85c1829bffea9d18abb,1.5773533794,0.0113300781
TV,da78e9e94e592bc9d272dd7b90131941,0.0475829989,0.0009922918
Pencil,3a647e754130d4266d400c53630ac401,0.0002888938,0.0108160297
CeilingLamp,b375f5b9102a97fecd187756f8df9a56,0.1406370267,0.0132568979
WallArt,caee92d9943a93bad3a8a0489b82a34e,0.0309659535,0.0090493783
ChestOfDrawers,8a98737d937d52f72ea98d69e91ba870,2.2170897231,0.0077600328
QueenBed,77f27e0a7f278dede3f7a74e12a274ef,0.8483028206,3.95841e-05
Vase,b828d1859065e0e4cdc03f207b7c6c79,0.0404685439,0.0056974047
Wii,4df2e50420df77b467903707764646db,0.6193550865,0.0268698373
Knife,5e515b18ed17a418b056c98b2e5e5e4e,0.0016832054,0.0001820016
Couch,2e2f34305ef8cbc1533ccec14d70360b,0.1323847152,0.0032100111
Poster,bc4cfa5f8407f21a39f3410d5f76299b,0.0075222155,0.0062539629
DiningTable,3441002a52b1cb2946b2a76c074a3f45,0.0393866592,0.0042593974
SideChair,3799a4d787d31c0bc580fdeb5460f6d6,0.0052781066,0.0037460693
OfficeSideChair,3c9747ff49d0da71f91663a74ccd2338,0.0315259503,0.0067489176
Mug,71995893d717598c9de7b195ccfa970,0.0407014458,0.0007342507
PottedPlant,df6d614c3ec344f6bbb54a23cf41ed36,0.0009607196,0.0012015626
Couch,601bf25b4512502145c6cb69e0968783,0.0487763713,0.0014637568
DeskLamp,efb047ee54f6a024fd5f00d1c8d5ab1,0.0244613389,0.000455001
ChestOfDrawers,77a5f0a9129f65ab86dd9c4cee394223,0.0517585166,0.003361595
Picture,35fe01c567b96c838af30108ea9ccb6c,0.054005623,0.0041439479
DresserWithMirror,52c7e12a5dcc5eefb74cc49ac0175934,0.0680431768,0.0039324497
Table,1b44b8c1d714e271aac156c397da9fd0,0.0238124174,0.0031604642
Chair,adac535548c2377d8ffd12b20c4b1aec,0.0854980531,0.0107554899
BeerBottle,8309e710832c07f91082f2ea630bf69e,0.0114984964,0.0141454522
TV,be88d4f562cf410c8ed987e79d4e7bec,0.0789696511,0.0033156713
LampPost,e001d10c9aed09d9947a4fb398a91722,0.0011207557,0.0006008798
CeilingLamp,b375f5b9102a97fecd187756f8df9a56,0.1935793529,0.0147467063
Cabinet,b5e8e3356b99a8478542f96306060db4,0.1373815796,0.0076191496
WallUnit,6a278000065e22c8d3dad974dc098fa1,0.0966986812,0.0018481417
PottedPlant,23448fc0b511d7b61e66636678929092,0.0198513328,0.0055919043
SodaCan,38dd2a8d2c984e2b6c1cd53dbc9f7b8e,0.5025927314,0.0437162102
Speaker,a4370b35519d93161ba7a7e54b0d6212,0.0024796262,0.0014191507
Vase,64611a47529f10327ac0fae7c37e01a7,0.0900063838,0.0053754193
Paper,eebc68c22c72ee2c63915d3d0e86b8e1,0.0045956595,0.0137248293
Camera,63d98cb438b2167bfd3570ab026dd825,0.0784745758,0.0004504087
EndTable,a069fa41fb01fd06ac88fc1a919bbb85,0.1592831061,0.0096010268
ToyFigure,31fb6849b47dd54c9c184d4625d13a0d,0.030922976,0.000557245
Gun,592017db407391c68e7e947594effe19,0.0164786497,0.00051545
Mattress,e0a8829f5eaddc19b3140627a81cc669,1.0952103027,0.0036705719
TrashBin,508a84f2e4a1d22d7f7fbfb94ac070c5,0.0624889096,0.0004103608
OfficeSideChair,fa263643fb3f45c7492d9da2668ec34c,0.1862631021,0.000687436
Couch,e94c453523b1dabda4669f677ccd56a9,0.1315948761,0.0020860667
Credenza,973043abc5c3aff5aaf370f1137079e9,0.1374704161,0.002210944
Lamp,68a94becfec1965e21d6b7a56ef55b4,0.0045801425,0.0004663086
Monitor,553064cb5847dd022ac3d2cc9ad4756,0.0254171324,0.0068489935
WallClock,88565e0eb863eb31426db14e2702705d,0.028029563,0.0118033814
Xbox360,435f39e98d2260f0d6e21b8525c3f8bb,0.0258537255,0.0020619502
Mug,f1c5b9bb744afd96d6e1954365b10b52,0.0392676364,0.0304132221
Fruit,f6e6117261dca163713c042b393cc65b,0.0714010971,0.0285114181
Dresser,420e166451392664f45db6a75d78cb47,0.24030295,0.0013299813
Vase,40f0d91382abe04b2396ca3dd50467ab,0.0137317037,0.0028630587
Dog,d6ee5fee4374b404ea7973eb2e95e6f1,0.5576675498,0.0106902065
Mug,1ea9ea99ac8ed233bf355ac8109b9988,0.0204791867,0.0001569012
Bottle,20b7adb178ea2c71d8892a9c05c4aa0e,0.0276709279,0.0169521182
Chair,781823e121fcafb153ddc46160d45cb6,0.0728177887,0.000804077
QueenBed,629b42a77b37fc0b303b9c8950e3eb65,0.1628280173,0.0017675316
QueenBed,1cc6b837baf41139fa6e1fd63f4a1c35,0.0442132739,0.0010942357
Shirt,e382a760529244811085a6d70c973b41,0.0054188933,0.0049709265
DeskLamp,680e5d7185a51e26a50ffe9b7408540a,0.0070311681,0.0124451406
TV,9cd452cf3f334f4cdefb2d6276747b70,1.2920341339,0.0053931237
WallClock,5bbaf43f2f86ba638b33d3087add7a4c,0.1320869545,0.001362171
CoffeeTable,64a7fae36a56705e3ae0df12be078c7c,0.0018349383,0.0017137828
Chair,cb3e0532f7e33fccb70dddaffff5d4c4,0.1210202918,0.003842629
PottedPlant,955cfaace0b0e2d65e29ce2c9d37b952,0.024697372,0.0047795889
ToyFigure,2daedbac8e1ee36f57467549cdfd9eb3,0.0034619299,7.68018e-05
Sideboard,465fcf65e686799b2cba66dc6aeabcd4,0.0072994691,0.0019253314
Cabinet,68aa1ed740374787de650492e45fb14f,0.4374008819,0.0044182184
WallUnit,75f9ad7ded87bffe1bb088904f7cb154,0.0083512974,0.002046393
Couch,30497cce015f143c1191e01810565e0c,0.3830746554,0.003661581
Cabinet,31a7cd3b7990834cde650492e45fb14f,0.6254326977,0.0046397513
Bird,fd1da95e820f2332f8dcb632aa65da28,0.0431462165,0.0060385494
FloorLamp,d633749e42b75607961b70a6f96df2a4,0.0008209723,0.0036765136
MilkCarton,313026b3dd934a8c66ab797924e689f7,0.5143807529,3.00611e-05
CoffeeTable,c5bd78aea45863b0b4c4babf6598aa6f,0.0253839561,0.0020854166
DiningTable,400369fdca7608a531292d1fc01277d8,0.0014434218,0.0012387424
Picture,6c3ec20f2d8d594d81c2ab4e5f52eac0,0.0020243361,0.000726301
Plant,a7bbc5ec171e9213828f0182ff9d66b0,0.0009412812,0.0005574232
Chair,61fad652db3d08506d075d8d4fe1141,0.3864595049,0.0084836574
Fireplace,b13dff579dd97f6168b24217426b180f,0.0419513652,0.0022510213
Chair,f9cace06116cd42fdc2f5250eb1359fc,0.4862204231,0.0061005133
Barstool,989c95491d7e823fa413908c0e169330,0.05298623,0.000218339
Curtain,f29f89a77fbddb9e9ef49b0ba6621ea3,0.0994250927,0.002798187
QueenBed,66cdea8432907e9fb99d331574136d26,0.220330465,0.0011508472
ChildBed,593064cf774efd77e6d5242766a0c7bd,0.068928034,0.0020634043
AccentTable,8efb3d9ec93520a797046e48d8f1e936,0.0092969451,0.002831764
DiningTable,dd3f4ae0df3ea89e98d5fc0473d00a1c,0.1031382437,0.0049655747
MediaPlayer,6aae88232d22273cd9b75c2536cc1186,0.6017662939,0.0110357599
Pencil,fce3804024f560073f0ddc6f164e8e3d,0.0044485628,0.0005245463
Cabinet,258ed141dbb8c11311fc2b865c2a185b,0.0163294867,0.0020452673
Ship,3f31208bf7adf03610aa1fb812b74966,0.1628200714,0.000489172
Helicopter,40e3dc7b95be393793eadf456456e21c,0.0022890496,0.0001896269
Bathtub,c609f4ec72f6094b322ed2ef5fc90e25,0.0115457726,0.0031230522
Armoire,a81165df41c774ba33526354c39ba9cd,0.2763126049,0.0026253105
Monitor,f47b9fc9a55a731a7bc6032416bc8ae,0.0251772881,0.0075385346
Barstool,eb33c30c104e297c98d5fc0473d00a1c,0.1626167638,0.0084497622
CellPhone,85a94f368a791343985b19765176f4ab,0.1718554001,0.0613169544
PictureFrame,1049af17ad48aaeb6d41c42f7ade8c8,0.1784936394,0.042376505
Dresser,20c3e09d6b0e24e890f272dd5659410a,0.9933942844,0.004992836
Desk,88629d904377906e75e93ae4af2fee42,0.1699395422,0.0049670142
Fireplace,72cedb533c6d7acde95e8a5faf311c2,0.7041326479,0.0044458034
Table,1223b9275d2a2edacd4833986a6efe96,0.0268408656,0.0032420729
Monitor,ff62121443345bf76cff78602fbd834e,0.012477395,0.0021300777
Speaker,e52b613167c90776b6ae7f9d71d5418f,0.0093854928,0.0042395824
Airplane,34a89777594d3a61b2440702f5566974,0.0459946936,0.0004233025
ChestOfDrawers,65e090450ca44450854cb8d56920e159,0.1329747372,0.0058400407
Sideboard,aaeb3bda295fb6a12846fa729d90e125,0.0325177048,0.0019066085
Table,d9c11381adf0cf48f1783a44a88d6274,0.1075942556,0.0060813728
Rug,e550fa52bae8fd0cd3fc9cb9ea3915ea,0.0055360264,0.0002295735
Whiteboard,58d99c98a4a0667fd0e90ab6c6492cb4,0.0020955947,0.0011939198
Poster,956ff94dc64ca4f121eadc749812f50b,0.0035430537,0.0006536289
Guitar,ef5da35ab36a9af280daaf5b0655fb7a,0.0009764555,0.0027220448
Whiteboard,1cb6e646d091f78c724d867867ccd9fb,0.0014367563,0.0008670944
Table,12df0535bb43633abdd9b7a602ec35ec,0.0304791743,0.0047336545
WallArt,2b94a026f1eb8efea156590b19c3013b,0.0021994982,0.0018315246
Toilet,569c255882d030a2ab7f9d2da6fc61cf,0.1898224649,0.0074267515
DiningTable,ca000b9d32450bc4eb6d0fd624ec3fc,0.0053427713,0.002028643
CellPhone,b1feb3020d9380ba4fb324159a14f34e,0.0446648982,0.0004908372
Armoire,9edead26059cae09e3f7a74e12a274ef,0.0812591856,7.43045e-05
DeskLamp,44cd0ca3b96ea62c1759e141360faf0d,0.0845900851,0.0012569322
ChestOfDrawers,ea6571f7ef98f562fca88347d0eb86ef,0.5030411679,0.0052590417
Credenza,c0cb25f8fe599006aea338eca62b3cac,0.0147281738,0.0024908718
Vase,884b167e2c44a19930eaaf40a8a562c1,0.2077383298,0.0153200864
PictureFrame,7273304d59a567c27b6fd5468f603b31,0.1650566546,0.0125279667
OfficeSideChair,1028b32dc1873c2afe26a3ac360dbd4,0.1554273514,0.0097625921
OfficeChair,90f124aab57c518eb866f4a999c2a978,0.0673217213,0.0061125227
Chaise,793aeb3e33325c491f4fac9ac5e71796,0.0716971044,0.0021252216
ChestOfDrawers,ecbdb9fb01ce4839391e4d6c585a697a,0.0287024944,0.0038484259
Barstool,55e7dc1021e15181a495c196d4f0cebb,0.025164584,0.0075505972
Picture,1a30adabf5a2bb848af30108ea9ccb6c,0.0324778228,0.0029084341
Piano,6142342e876a0f6f4b695ac31691771f,0.075205987,0.0002683369
AccentChair,7a88bf1d59c6f0e5e3f7a74e12a274ef,0.0259440937,0.0027802823
WallArt,ad14100deaba6134f9d59a9a03a2c8db,0.0809943424,0.0058865453
SodaCan,fbdd057b52aa6eee198795cc15e06e56,0.0192954868,0.0092639352
Dresser,5e61fc6946ed74c3532e8683617554c4,0.4528781715,0.0060986523
Monitor,462ba756d3337b475f16c469ffeb982e,0.0164007845,7.72765e-05
CeilingLamp,3e4add6d11527e942a1b7fd901fe2b5,0.6273656725,0.0246272121
Desktop,7f89aa58aa77ee0028a35028fcddd52,0.6300316786,0.0099559792
Couch,e0b897af3eee5ec8d8ac5d7ad0953104,0.1318572364,0.0028805949
Dog,42eca48d3d77f69fd1b60ecd8be23ba6,0.3666741145,0.0005678984
Speaker,8ae047e72a84a5713d89b2cbd0c1c45d,0.4156190484,0.0158637296
DiningTable,8d533bfd684499c698d5fc0473d00a1c,0.0557263871,0.0038520281
ToyFigure,84c2dd765877d5f553b4f77adb46c92a,0.3823914634,0.0048026529
QueenBed,e91c2df09de0d4b1ed4d676215f46734,0.8420282226,0.0042758909
OfficeChair,86ab8423415349e6fad7f870c0e9e89,0.0030009199,0.0024704898
MediaPlayer,375c69d32771bcada374d341749045f5,0.2343233807,0.0118255601
ChestOfDrawers,a4667d1193175fed5fceaa39a8353bde,1.0887189134,0.0065293194
Dresser,4379bb99731e186e1b7240bec20d2c91,0.72118331,0.0042307577
TableClock,66e3ee58dd50dfed29131a7a5d37d635,0.1021271378,0.0020040134
PaperBox,7cc4280f24686fd90fec365bc4d6ed0,0.3175830464,0.0041573459
Monitor,5d0d5312a7f2ce01e441f5bb6f88ca61,0.0823177122,0.0085087889
Cabinet,25bb332d7de52b51729c04438af8eabf,1.4483938424,0.0080109039
LoftBed,4cd18b8c953fbcf2d68b4f303fa1b6e3,0.0202815018,0.0016651526
Calculator,57f8d6a2c733c5795bbea6ee257e41cc,0.0206943404,0.0147727858
Recliner,100f39dce7690f59efb94709f30ce0d2,0.0423157073,0.0010226393
PictureFrame,758c6afc8336ef8e8fac9e5f7138fb48,0.2321868412,0.0120799679
Horse,7987a84c94c628ebc6a4becbc6f010a5,0.169670285,0.0083758588
Showerhead,6b940f85e82457d28a1b73194a8a176f,0.0093976177,0.0123147829
Airplane,9a0f4dd21a4ca19bf1cb19f636b1c2bd,0.0238957587,0.0010592788
CellPhone,4322e0ac9d897177f7df9f2cbbf98673,0.0040070663,0.000506856
Couch,9df9d1c02e9013e7ef10d8e00e9d279c,0.2586786789,0.0029173773
Calculator,ddd053d1db789cca9c6d98002e5b7f0,0.0501045609,0.0493160768
Plant,cc725264350fb09f8fe83b77a60abdfe,0.0054842173,0.0017163268
Printer,7f60e19e4f1b7b92f08c6efc59ec3825,0.4814283967,0.0003300592
FileCabinet,9e201c878c2ea370696196068f29f233,0.835928912,0.0055394852
Telephone,2216e78a43c5d587b8e1b99345a5afd4,0.1699432278,0.0175276286
Guitar,65c02d42310072893ad5c8c907218ae5,0.0020146108,0.001144937
Vase,773f9776383591413154b9d0607cd85d,0.0060600485,0.0090474282
TissueBox,b11db9eeac44be0550d1fe15308b63aa,0.2175299528,0.002388721
EndTable,145b3e858ba17332bc4ac3caf16ef65,0.1629976851,0.0090173224
LightSwitch,ac9728f9b72fca00b48b2b84c76738a,0.0221368875,0.0587531502
Fruit,3a92a256ad1e060ec048697b91f69d2,1.0713191545,0.0025350571
OfficeChair,db881828c0d852f0116162acefe23592,0.0452234476,0.0072768174
Laptop,5a13f7551c20eb29f3ebfe51dc60263e,0.2136594675,0.0126577837
AccentTable,12193ca7bef40d40a84aed1cd93567b2,0.0097341765,0.0049859634
Laptop,4d0be47e439939c9c7adaa4d9ec4f2ea,0.0625944737,0.0015200347
ChestOfDrawers,188daa867afa5eea43638dabe1eb5336,0.1337781385,0.0060834939
Vase,9c06b546a29ccb2f2c27670a86683659,0.5372778531,0.0105777851
Wallet,52431cf438b7a1c5606b049766a67fa3,0.050942965,0.0400333238
Cabinet,6700b56cbab318a522297cd9a670082,0.5294156403,0.0026313723
CoatRack,7b5bae404ed3d8d45284f614a5c1b290,0.0139351245,0.0112353675
Horse,4e301737d057917e25c70fb1df3f879b,0.0664387727,0.0021981329
Printer,ab08139c6b9c6fb8f35554ebed2bf2,0.245132312,0.0108788499
EndTable,480fa0aa1cd17b12426f9b8d387ec2fe,0.4757069627,0.009584486
Recliner,10de9af4e91682851e5f7bff98fb8d02,2.6702202068,0.0083975379
DraftingTable,43a79ef3ba97e34c273d0d46c49e9e78,0.1942581875,0.0029956628
Piano,c7ab660e1fde9bb48ce2930380f4c6e7,0.0446737677,0.0025829862
Pan,c8b06a6cb1a910c38e43a810a63361f0,0.0400433127,3.66632e-05
Dresser,fccefab18a274880376a431c347bc40a,1.0897276354,0.0065465873
AccentTable,dccb87aacbcb40a4f1783a44a88d6274,0.1719879195,0.0104425686
Dresser,df9abc0aeefbf80a82c2ee15a3a969ec,0.0642606769,0.0022966095
Couch,6caa1713e795c8a2f0478431b5ad57db,0.62957091,0.0044824825
Microwave,21c7f1ff67976e7c29cb7aca40b7cd0,0.3284501434,0.0118279204
TrashBin,10eef2596b7d3a80afa3b1b4d906a5ac,0.7456740809,0.0082974435
Headphones,63179fbdf2db65fff325ea98afcb29f9,0.310472413,0.0011423648
Painting,3b6c0302dfd4a945f5643b33c728184f,0.0042673273,0.0029402462
LoftBed,f032843ecde2731264f9f3e91e97369b,0.4095163167,0.0038025829
Refrigerator,8745cdb53fc849851666e1246e760f82,0.3916632738,0.0042181631
PersonStanding,aec0115e62c4b3aba363332b3a3f9b5f,0.0472180957,0.3509652582
Stool,f38288f22968aaea631335e2bdab5ea0,0.0909420714,0.0123088923
WallLamp,df82724c7b7ed764fcb8d8c6d4df8143,0.0351456296,0.007189105
Board,5c3d7bed7bb05345dda5b141a8e83fa9,0.0025876219,0.0038684587
Barstool,b558c112f34edfb15e0e77e9cf965949,0.069499798,0.0063134042
Cabinet,e8f04166c6dc3cb52ea98d69e91ba870,0.2353539277,0.003711462
Wii,84f45a5c3f9de48ae1c30bc7caf261be,0.0183356599,0.0097889187
Knife,38c843d1075bd351e652fa812161367,0.0007358657,0.0167122669
Pencil,9ff1c3a225933646d95cbd7188c1a0ec,0.0036439335,0.0135187173
CeilingFan,e6914c2d4f8c9b0a18b14db3b83de9ff,0.0068174346,0.0029231851
QueenBed,b71e7b8540ff797a136e69d8beacc745,0.3207388315,0.0023631158
Couch,cfa489d103b4f937411053a770408f0d,0.1006535876,0.0022293775
Table,ab61610e46bad18ac069fb0053a030fb,0.3702415039,0.0044083463
PottedPlant,141de0993dd1f2f24efc7e7114f1b9c5,0.0059237993,0.001220115
Calculator,52ffe1a907d8349bd48efd896a2846bc,0.0081416051,0.0161790336
Bucket,997f1218df2b1909ce0e7190fd762087,0.6196222164,0.0093723962
Laptop,56517e22979b563460ac9d6174947ab2,0.0178555104,0.0002647453
Plant,70c5c777de2572f5a369eec0d478ecd3,0.001011454,0.0013238508
CoffeeTable,3250cee2b00f2bfc9141594c44ac35a8,0.0017263404,0.0013663476
Cabinet,c5b7e21b70a915bc44221bef0fa3c36b,0.2727006765,0.0072886017
QueenBed,f78ac71ed599c459e8058cf23f6382c1,0.2189785256,0.0020218364
Candle,f8760b585415ba4a6b32fbc60e12dcfe,0.0572965148,0.0017154797
Fireplace,7ff30edaf58db82d7923e9681dcda2b2,0.0259997464,0.0021006257
Book,6ad85ddb5a110664e632c30f54a9aa37,0.5434896013,0.0352154579
ToyFigure,7cc11810eaa479e177e21aa92afd81b0,0.0034418312,7.61752e-05
QueenBed,ac97ffc6b6ef238382c3b56998e08a4c,0.0637734451,0.0029844149
Plant,746c501dc0e179b3f93934cc851bfea0,0.0429490607,0.0060094415
Toilet,3fe83426c6233fc39201f2703b45dd7,0.2084454059,0.0058976531
Vase,1730e6c6a37f19abefae06b5b9950833,0.0142253461,0.0126899265
FloorLamp,4cf4ca85d2685b9b98d5fc0473d00a1c,0.1483015975,0.0032950173
Sink,b5c707edd377fb4a5c6eb4e85d341904,0.2184175522,0.0026631441
Chair,760380a1cc56b5e8fb1093b2289b10f,0.0170902765,0.0002508928
Couch,e7b9fef210fa47505615f13c9cba61e5,0.0321448808,0.00142235
SingleBed,bbd23cc1e56a24204e649bb31ff339dd,0.0103946648,0.0004157172
Desktop,e23e0c08021ade6aa17d66eaa6c79db4,0.6809589548,0.0160927729
FloorLamp,7dc43431e2d530248b424343280aeccb,0.0032102712,0.0030576109
TV,525b558141c5a1287b105c57586eb4ca,0.009626209,0.0019681775
Chair,1bf66bb8d1ed1868eb2d637b85eaee25,0.0341181408,0.0035349202
Chair,de431e15a30f57f27d5681734ecfe522,0.0900739198,0.0037087944
Loveseat,73111c5505d7b5eae3db80a3cacc6e3,0.0359943912,0.0017858073
Refrigerator,91939b5bd173d3924377f456c88c1f3,0.0932106864,0.000495141
DiningTable,9b8e7652eac8daef33e6ceca7fd89911,0.0548216499,0.0048614676
Chair,2780e6d3eba01ccb6d075d8d4fe1141,0.037473507,0.0036346323
PaperBox,35a6043ee7e6e295724d867867ccd9fb,0.7272000738,0.0147918129
Bench,9c9aed95c76b4ecd80360680c1602c7d,0.0061018689,0.0578238437
SideChair,e777e42470ee9bf270ae142beb408e0,0.0973961936,0.007305686
Desktop,36a507da28434cfef25a209e4eace29c,0.2391769988,0.0149037234
Chair,d29c14f180ce319f71271c0017c27c86,0.1341784106,0.0024105171
Magnet,b53112340373a2e42549f2ccb7b74182,0.0095054123,0.0196285168
Couch,62852049a9f049cca67a896eea47bc81,0.2174548476,0.0027632946
SodaCan,7f99541654dc752d5cb28c0f100d2c5,0.0982480437,0.0043219031
TissueBox,23554c0a79f99f5428c1be4e311395d0,0.0085822307,0.0004724504
Headphones,e3e3a16c5561908076ab32996e9bb920,0.1884296691,0.0012567258
FoodItem,f09d68eb78b60908b8183a4a81361b94,0.0077646622,0.0049318808
Sandwich,7902e438835292de683651cbc8e49e4f,0.1445564017,0.0005683415
OfficeChair,e955b63a4bd738857178717457aa5d20,0.0151175757,0.0033650642
6Shelves,f02fee62f667246af1783a44a88d6274,0.0153310927,0.0007523208
DeskLamp,fc519dfcfd7fb873d810b14a81e12eca,0.0478773791,0.0154094557
TrashBin,77905cdb377b3c47cb2a965e75be701c,0.2469521207,0.011401332
Monitor,17226b72d812ce47272b806070e7941c,0.2438946817,0.0112534269
Bowl,4be4184845972fba5ea36d5a57a5a3bb,0.124397063,0.0006308777
Rack,279430474957c013b9d7c2fc41e80228,0.0069473824,0.0039332983
Book,4e0eab530e900d09bcbccbbd6200163,0.5799088341,0.0027469453
Toilet,333dc990e43e0caf1bfc8c4fb242421f,0.0643727807,0.0042538426
Laptop,2777dfcee7d0f364b0d7b0d4230df8ca,0.1706396106,0.0018023125
Monitor,c257e38f51bb660447de0ecdff019da9,0.4342285013,0.0160268348
TV,b90fa55afb2686402be11bf30d34bea3,0.0876170668,0.0007868343
Tank,9fa6e6c5e5ea5821e86077f6afe582d2,0.3644047445,0.0008575015
KneelingChair,7a914a9c2560e305dd21fbad31cb234b,0.036365069,0.0054816329
WallArt,1004f30be305f33d28a1548e344f0e2e,0.0467746076,0.0046570797
DeskLamp,b6953f683e8b3feb9571d807bcd25673,0.0574441159,0.000391318
CoffeeTable,304e6160dadb193f493a4a2a112261d3,0.2856313337,0.0005129692
Desktop,4b384532c11edd13f34d94e94d16f9e4,0.2840038292,0.0003867555
3Shelves,ea3807911b86d7e7b53aed25092632f,0.0512433555,0.0046205018
Printer,1773dafc24ded61cea3aa8137e136b5c,0.6031732368,0.0011306174
FloorLamp,1129a07c75f5a709cf004563556ddb36,0.0004222747,0.0015142963
OfficeChair,f5e32baa3a07578ed201cac93caf7d25,0.0282619198,1.98197e-05
TissueBox,e1a25cabcd4b233bb4c86e56e2f0dc0c,0.0281804299,0.0013532508
Oven,c586c25a121326bcd621f96e518e01fd,0.2995373402,0.0026738029
Desktop,2545015993096b7a1dd448ad6b170564,1.3241357716,0.0006117733
Camera,155ffb08fba5df33f0c6f578f0594c3,0.2229003638,0.0005503148
ComputerMouse,d578b1493e118a736d07c55cf995503e,0.0659935926,0.0029507229
Picture,3cdd3e927ee800772e5fe4ac0cb720d2,0.0337465568,0.0048134787
Gun,5b99d3c4f8c1af8124adc0b4355a9827,0.011497202,0.0005486513
NintendoDS,bf64ea371dab78f0f183602b3f819644,0.1040454285,0.0010422846
Couch,ebf1982ccb77cf7d4c37b9ce3a3de242,0.2253041681,0.0051403489
FloorLamp,426db2f3fe938957cee20fe660dc58ca,0.0460659435,0.0034791687
Chair,5c9b4af9d0e9c132b161f36d4e309050,0.0088250242,0.0045830977
Vase,40f0d91382abe04b2396ca3dd50467ab,0.0536855681,0.0045103262
PersonStanding,24b187230ba25615953414dae7d63ae1,0.0010017631,0.0027263747
Vase,8aca47b173fa7cde35836c728d324152,0.0023105527,0.0055034626
Piano,518952ec821e3e60781551ea381688bd,0.0426808879,0.0701359876
Couch,f563b39b846922f22ea98d69e91ba870,0.0726907645,0.0036056578
Keyboard,3f34b7f6ef1fd8e7891aaffa5a7c7cad,0.055838311,0.0146044187
DeskLamp,7b41e8307e85ab0b87e834be7739917e,0.0509841238,0.0134738127
CeilingLamp,6b0664c9fb1a4fd1fcb8d8c6d4df8143,0.0428991577,0.0047719565
Bowl,ecb86f63e92e346a25c70fb1df3f879b,0.1662528067,0.0020468137
AccentTable,54036c402bf09ce98d5fc0473d00a1c,0.09444829,0.0129410301
AccentTable,7f0ac8c0f541ce3e6dcfc35990eb3ea1,0.0027856368,0.0044320263
AccentTable,20c7d4364e94c8f9ec5c5d2f7741e6a,0.0050352771,0.0040935099
Recliner,3fa2fccd96f3e5b5347185e772ead5bd,0.0527169881,0.0002716484
Nightstand,70ae6bb974d4bfbbbd4f838682e34d2a,1.0276220062,0.0028434101
OfficeChair,383955142f43ca0b4063d41fae33f144,0.1493536745,0.0065187938
LampPost,9d1e04bd3df11256bef045a510a22fbb,0.0088078781,0.0033465604
RubiksCube,f449ec743900234bb7f39bf08785db2f,0.5974024164,0.0003023793
Loveseat,4307657b2731fd392c37553db37ec752,0.2285456757,0.0040343096
SideChair,91f169d0aa7f50554921c6057d4a6c49,0.0608428096,0.0051828103
Chair,fc131dfba15fafb2fdeed357dfbe708a,0.0845299648,0.0052609647
Poster,22772be8165cc93ec9d2af7259032e7f,0.0337662572,0.0170470973
TissueBox,cbacbd21eb69bad7cbff0273ed089e5d,0.6874142797,0.0008711194
EndTable,7d6102f23f51764d2ed4a731510fb423,0.0015200114,0.0029353463
OfficeChair,20120e61e199b8cfd319c38340319ae4,0.1993660776,0.0077212741
Vase,f2bca260373c420f535deb3b0c692a2a,0.04506978,0.0404686136
Pen,e529f98d6e111b67625ac64d4da8b7e4,0.01005481,0.0537206871
Desk,67fb05261fbd0048643bc5e60b471691,0.0063500867,0.0021465372
Dresser,b1bdcc7bcb3148aaa23949c21eddef76,0.3402898469,0.0033314362
Chaise,6de6c3fb1e5a7d15fa2037e5e59ff423,0.0299382777,0.00389948
Gamecube,92c527aecefcd1c1d5f67d7e37b44e96,3.0733298373,0.0017771698
CeilingLamp,772414e86e72e9a5621d5fb4d1552486,0.1352229428,0.013989791
TV,4c1db907fa5813d7253f12d90aaa05ab,0.507022277,0.0086666988
Book,e9c15756a9c5c9d5188705959b3fcb07,0.1455558868,0.027607721
WallArt,80de41fec631bf8079327dae288b3e1a,0.1486747942,0.0076722437
WallLamp,82d41dbec488fc762a08194fd3f4120d,0.5892159402,0.0460099447
TV,12d66fb050f08f66de266657cf7d5a9a,0.0039790969,0.0002228483
Basket,29880fedb8770d6ce51e3cd2b72fbf02,0.0720988088,0.0175614234
ToiletPaper,3585a9ea9a1c40d5533775ea6714a372,0.3459414394,0.0010628563
Sink,9bb3f47b684a67ec3321831d2245cf06,0.0388433572,0.0055443895
Couch,ee4ec19df3a6b81317fd40ad196436c,0.0345347802,0.0015809289
Couch,a613610e1b9eda601e20309da4bdcbd0,0.0480108673,0.0018234433
RoundTable,8e97ff7cd14f9c9c85aa4cb694ef9e12,0.0960762744,0.0054236974
Chair,3dc39c34c37860da2ef1c225dc7772c5,0.0493949322,0.0090743777
Table,12df0535bb43633abdd9b7a602ec35ec,0.0018393381,0.0018567325
Monitor,5345b1e0db3a42e75b461ffbade82c20,0.6503009442,0.0136832641
